Entity,Project Id,Project Title English,Project description English,Project Title Arabic,Project Description Arabic,Project Logo URL (SVG)
Ministry of Public Health,17,Ministry of Public Health,This project is to validate the MOPH website against website framework.,وزارة الصحة العامة,يهدف هذا المشروع إلى التحقق من صحة موقع وزارة الصحة العامة مقابل إطار عمل الموقع.,
Ministry of Public Health,23,Government Health Communication Center,This project is to validate the GHCC E-service against E-service framework.,مركز الاتصال الصحي الحكومي,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لمركز الخليج للسرطان مقابل إطار الخدمة الإلكترونية.,
Hamad Medical Corporation,8,HMC,This project is to validate the HMC website against website framework.,مؤسسة حمد الطبية,يهدف هذا المشروع إلى التحقق من صحة موقع مؤسسة حمد الطبية مقابل إطار عمل الموقع.,
Primary Health Care Corporation,14,Primary Health Care Corporation,This project is to validate the PHCC website against website framework.,مؤسسة الرعاية الصحية الأولية,يهدف هذا المشروع إلى التحقق من صحة موقع مؤسسة الرعاية الصحية الأولية مقابل إطار عمل الموقع.,
Primary Health Care Corporation,22,New Patient Registration,This project is to validate the New Patient Registration E-service  against  E-service framework.,تسجيل مريض جديد,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لتسجيل المريض الجديد مقابل إطار الخدمة الإلكترونية.,
Primary Health Care Corporation,21,E-services enrollement,This project is to validate the E-services enrollement E-service  against  E-service framework.,التسجيل في الخدمات الإلكترونية,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لتسجيل الخدمات الإلكترونية مقابل إطار الخدمة الإلكترونية.,
"Ministry of Administrative Development, Labour and Social Affairs",9,ADLSA,This project is to validate the ADLSA website against website framework.,,,
"Ministry of Administrative Development, Labour and Social Affairs",33,Amerni Qatar Mobile App,This project is to validate the Amerni Qatar Mobile App against  Mobile App framework.,تطبيق أميرني قطر للجوال,يهدف هذا المشروع إلى التحقق من صحة تطبيق Amerni Qatar Mobile مقابل إطار عمل تطبيق الجوال.,
"Ministry of Administrative Development, Labour and Social Affairs",36,Mawared 2- Mobile App,This project is to validate the Mawared 2 Mobile App   against  Mobile App framework.,موارد 2- تطبيق جوال,يهدف هذا المشروع إلى التحقق من صحة تطبيق موارد 2 مقابل إطار عمل تطبيقات الهاتف المحمول.,
"Ministry of Administrative Development, Labour and Social Affairs",44,Query for Labor Complaints,This project is to validate the Query for Labor Complaints E-service  against  E-service framework.,الاستعلام عن شكاوى عمالية,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية للاستعلام عن شكاوى العمل مقابل إطار الخدمة الإلكترونية.,
"Ministry of Administrative Development, Labour and Social Affairs",45,Labour exit permit service,This project is to validate the Labour exit permit service E-service  against  E-service framework.,خدمة تصاريح خروج العمالة,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لخدمة تصريح خروج العمالة مقابل إطار الخدمة الإلكترونية.,
General Authority of Customs,16,General Authority of Customs,This project is to validate the GAC  website against website framework.,الهيئة العامة للجمارك,يهدف هذا المشروع إلى التحقق من صحة موقع GAC الإلكتروني مقابل إطار عمل موقع الويب.,
General Authority of Customs,32,AI Nadeeb,This project is to validate the AI Nadeeb Mobile App   against  Mobile App framework.,علي النديب,يهدف هذا المشروع إلى التحقق من صحة تطبيق AI Nadeeb Mobile مقابل إطار عمل تطبيق الجوال.,
Kahramaa,11,Kahramaa ,This project is to validate the KM website against website framework.,كهرماء,هذا المشروع هو للتحقق من صحة موقع KM مقابل إطار عمل الموقع.,
Kahramaa,30,Kahramaa Mobile App,This project is to validate the Kahramaa Mobile App   against  Mobile App framework.,تطبيق كهرماء للموبايل,يهدف هذا المشروع إلى التحقق من صحة تطبيق Kahramaa Mobile مقابل إطار تطبيق Mobile App.,
Kahramaa,28,Online Payment Service,This project is to validate the Online Payment Service E-service  against  E-service framework.,خدمة الدفع عبر الإنترنت,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لخدمة الدفع عبر الإنترنت مقابل إطار عمل الخدمة الإلكترونية.,
Kahramaa,29,Move out Service,This project is to validate the Move out Service E-service  against  E-service framework.,نقل الخدمة,يهدف هذا المشروع إلى التحقق من صحة خدمة Move out الإلكترونية مقابل إطار عمل الخدمة الإلكترونية.,
Ministry of Municipality and Environment,12,Ministry of Municipality and Environment,This project is to validate the MME website against website framework.,وزارة البلدية والبيئة,يهدف هذا المشروع إلى التحقق من صحة موقع وزارة البلدية والبيئة مقابل إطار عمل الموقع.,
Ministry of Municipality and Environment,19,OUN,This project is to validate the OUN Mobile App   against  Mobile App framework.,عذرًا,يهدف هذا المشروع إلى التحقق من صحة تطبيق OUN Mobile مقابل إطار عمل تطبيق الهاتف المحمول.,
Ministry of Municipality and Environment,42,Request Building Demolition Permit,This project is to validate the Request Building Demolition Permit E-service  against  E-service framework.,طلب تصريح هدم مبنى,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لطلب تصريح هدم المباني مقابل إطار الخدمة الإلكترونية.,
Ministry of Municipality and Environment,31,Request Wastewater Removal Service,This project is to validate the Request Wastewater Removal Service E-service  against  E-service framework.,طلب خدمة إزالة مياه الصرف الصحي,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لطلب خدمة إزالة مياه الصرف الصحي مقابل إطار عمل الخدمة الإلكترونية.,
